-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 03/31/2021 
Location: Latitude  59.3346   Longitude 18.0632 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 26.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M        MERRA-2 Temperature at 2 Meters (C) 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MWET,T2MDEW
2021,1,1,1,1.7,1.64,1.58
2021,1,1,2,1.37,1.3,1.23
2021,1,1,3,0.86,0.73,0.62
2021,1,1,4,0.62,0.4,0.19
2021,1,1,5,0.69,0.38,0.08
2021,1,1,6,1.01,0.58,0.16
2021,1,1,7,1.31,0.8,0.28
2021,1,1,8,1.48,0.92,0.36
2021,1,1,9,1.49,1.01,0.53
2021,1,1,10,1.69,1.38,1.08
2021,1,1,11,1.94,1.78,1.62
2021,1,1,12,2.01,1.9,1.78
2021,1,1,13,1.77,1.69,1.6
2021,1,1,14,1.49,1.42,1.36
2021,1,1,15,1.47,1.41,1.36
2021,1,1,16,1.65,1.59,1.54
2021,1,1,17,1.74,1.69,1.62
2021,1,1,18,1.69,1.62,1.57
2021,1,1,19,1.62,1.56,1.51
2021,1,1,20,1.59,1.54,1.48
2021,1,1,21,1.57,1.52,1.47
2021,1,1,22,1.49,1.44,1.4
2021,1,1,23,1.44,1.38,1.33
2021,1,2,0,1.3,1.24,1.19
2021,1,2,1,1.2,1.15,1.09
2021,1,2,2,1.14,1.08,1.02
2021,1,2,3,0.98,0.91,0.85
2021,1,2,4,0.65,0.58,0.51
2021,1,2,5,0.53,0.44,0.35
2021,1,2,6,0.5,0.39,0.29
2021,1,2,7,0.38,0.27,0.16
2021,1,2,8,0.23,0.1,-0.02
2021,1,2,9,0.31,0.18,0.05
2021,1,2,10,0.55,0.41,0.28
2021,1,2,11,0.69,0.55,0.4
2021,1,2,12,0.73,0.58,0.44
2021,1,2,13,0.58,0.4,0.23
2021,1,2,14,0.3,0.14,-0.02
2021,1,2,15,0.29,0.18,0.07
2021,1,2,16,0.37,0.29,0.21
2021,1,2,17,0.65,0.59,0.54
2021,1,2,18,0.62,0.57,0.53
2021,1,2,19,0.47,0.44,0.4
2021,1,2,20,0.28,0.25,0.22
2021,1,2,21,0.12,0.08,0.05
2021,1,2,22,-0.06,-0.11,-0.15
2021,1,2,23,-0.23,-0.28,-0.34
2021,1,3,0,-0.45,-0.51,-0.57
2021,1,3,1,-0.74,-0.82,-0.9
2021,1,3,2,-1.06,-1.16,-1.24
2021,1,3,3,-1.35,-1.45,-1.56
2021,1,3,4,-1.56,-1.68,-1.8
2021,1,3,5,-1.78,-1.92,-2.05
2021,1,3,6,-2.06,-2.2,-2.35
2021,1,3,7,-2.38,-2.52,-2.67
2021,1,3,8,-2.66,-2.81,-2.96
2021,1,3,9,-2.81,-2.99,-3.15
2021,1,3,10,-2.53,-2.74,-2.94
2021,1,3,11,-2.09,-2.33,-2.57
2021,1,3,12,-1.91,-2.17,-2.43
2021,1,3,13,-2.18,-2.4,-2.63
2021,1,3,14,-2.68,-2.86,-3.05
2021,1,3,15,-3.09,-3.27,-3.46
2021,1,3,16,-3.4,-3.56,-3.74
2021,1,3,17,-3.73,-3.88,-4.03
2021,1,3,18,-3.95,-4.11,-4.27
2021,1,3,19,-4.06,-4.24,-4.42
2021,1,3,20,-4.04,-4.23,-4.42
2021,1,3,21,-3.63,-3.82,-4.02
2021,1,3,22,-3.38,-3.55,-3.71
2021,1,3,23,-3.52,-3.66,-3.79
2021,1,4,0,-3.26,-3.45,-3.63
2021,1,4,1,-2.81,-3.03,-3.25
2021,1,4,2,-2.44,-2.67,-2.89
2021,1,4,3,-2.45,-2.6,-2.76
2021,1,4,4,-2.4,-2.56,-2.72
2021,1,4,5,-1.72,-1.96,-2.21
2021,1,4,6,-1.27,-1.56,-1.84
2021,1,4,7,-1.17,-1.4,-1.64
2021,1,4,8,-1.14,-1.34,-1.54
2021,1,4,9,-1.16,-1.34,-1.51
2021,1,4,10,-0.87,-1.09,-1.31
2021,1,4,11,-0.46,-0.76,-1.06
2021,1,4,12,-0.2,-0.52,-0.84
2021,1,4,13,-0.2,-0.49,-0.77
2021,1,4,14,-0.39,-0.63,-0.88
2021,1,4,15,-0.62,-0.87,-1.12
2021,1,4,16,-0.81,-1.04,-1.27
2021,1,4,17,-0.97,-1.17,-1.36
2021,1,4,18,-1.06,-1.24,-1.4
2021,1,4,19,-1.28,-1.38,-1.46
2021,1,4,20,-1.24,-1.33,-1.42
2021,1,4,21,-1.16,-1.27,-1.38
2021,1,4,22,-0.74,-0.95,-1.15
2021,1,4,23,-0.9,-1.05,-1.2
2021,1,5,0,-0.81,-0.99,-1.17
2021,1,5,1,-0.76,-0.93,-1.1
2021,1,5,2,-0.75,-0.93,-1.11
2021,1,5,3,-0.65,-0.86,-1.07
2021,1,5,4,-1.09,-1.2,-1.33
2021,1,5,5,-1.39,-1.49,-1.58
2021,1,5,6,-1.56,-1.67,-1.77
2021,1,5,7,-1.72,-1.82,-1.92
2021,1,5,8,-1.94,-2.03,-2.13
2021,1,5,9,-1.9,-2.05,-2.19
2021,1,5,10,-1.41,-1.65,-1.89
2021,1,5,11,-1.06,-1.35,-1.66
2021,1,5,12,-0.92,-1.23,-1.53
2021,1,5,13,-1.12,-1.38,-1.63
2021,1,5,14,-1.66,-1.83,-2.0
2021,1,5,15,-2.03,-2.23,-2.42
2021,1,5,16,-2.35,-2.52,-2.71
2021,1,5,17,-2.56,-2.72,-2.88
2021,1,5,18,-2.73,-2.89,-3.06
2021,1,5,19,-2.77,-3.02,-3.25
2021,1,5,20,-3.01,-3.24,-3.47
2021,1,5,21,-3.31,-3.52,-3.73
2021,1,5,22,-3.45,-3.65,-3.85
2021,1,5,23,-3.42,-3.63,-3.85
