"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|SE3","Actual Total Load [MW] - BZN|SE3"
"01.01.2016 00:00 - 01.01.2016 01:00","10318","9912"
"01.01.2016 01:00 - 01.01.2016 02:00","10135","9683"
"01.01.2016 02:00 - 01.01.2016 03:00","9932","9457"
"01.01.2016 03:00 - 01.01.2016 04:00","9771","9287"
"01.01.2016 04:00 - 01.01.2016 05:00","9694","9208"
"01.01.2016 05:00 - 01.01.2016 06:00","9756","9253"
"01.01.2016 06:00 - 01.01.2016 07:00","9950","9513"
"01.01.2016 07:00 - 01.01.2016 08:00","10155","9744"
"01.01.2016 08:00 - 01.01.2016 09:00","10255","9947"
"01.01.2016 09:00 - 01.01.2016 10:00","10373","10052"
"01.01.2016 10:00 - 01.01.2016 11:00","10654","10333"
"01.01.2016 11:00 - 01.01.2016 12:00","10921","10684"
"01.01.2016 12:00 - 01.01.2016 13:00","11086","10895"
"01.01.2016 13:00 - 01.01.2016 14:00","11141","10953"
"01.01.2016 14:00 - 01.01.2016 15:00","11209","11144"
"01.01.2016 15:00 - 01.01.2016 16:00","11552","11544"
"01.01.2016 16:00 - 01.01.2016 17:00","11830","11862"
"01.01.2016 17:00 - 01.01.2016 18:00","11864","11945"
"01.01.2016 18:00 - 01.01.2016 19:00","11726","11824"
"01.01.2016 19:00 - 01.01.2016 20:00","11500","11481"
"01.01.2016 20:00 - 01.01.2016 21:00","11224","11101"
"01.01.2016 21:00 - 01.01.2016 22:00","10919","10763"
"01.01.2016 22:00 - 01.01.2016 23:00","10561","10310"
"01.01.2016 23:00 - 02.01.2016 00:00","10268","9950"
"02.01.2016 00:00 - 02.01.2016 01:00","10115","9600"
"02.01.2016 01:00 - 02.01.2016 02:00","9957","9383"
"02.01.2016 02:00 - 02.01.2016 03:00","9904","9357"
"02.01.2016 03:00 - 02.01.2016 04:00","9943","9417"
"02.01.2016 04:00 - 02.01.2016 05:00","10039","9582"
"02.01.2016 05:00 - 02.01.2016 06:00","10151","9798"
"02.01.2016 06:00 - 02.01.2016 07:00","10448","9982"
"02.01.2016 07:00 - 02.01.2016 08:00","10827","10389"
"02.01.2016 08:00 - 02.01.2016 09:00","11226","10831"
"02.01.2016 09:00 - 02.01.2016 10:00","11617","11275"
"02.01.2016 10:00 - 02.01.2016 11:00","11935","11773"
"02.01.2016 11:00 - 02.01.2016 12:00","12073","12077"
"02.01.2016 12:00 - 02.01.2016 13:00","12101","12331"
